param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
0.97506116 	1.02454856 	2.05776952 	0.69020599 	0.90888413 	0.52561649 	0.78418484 	0.86669102 	0.97532278 	0.66066423 	-0.70192343 	1.50921303 	0.59747691 	0.60424155 	0.16505488 	0.00045086 	0.59472911 	0.68407723 	0.6000 	0 
1.70335129 	2.15547540 	2.51073300 	0.21593175 	0.27525214 	0.25724317 	0.99342514 	0.29358509 	0.95725151 	0.84208491 	-0.52281627 	0.53141247 	0.19814722 	0.57008137 	0.21543447 	0.00029675 	0.99433281 	0.98647376 	0.5804 	1 
1.86140013 	2.25276989 	2.38166864 	0.63790145 	0.38985878 	0.60270395 	0.66827740 	0.88571781 	0.98395006 	0.45573130 	-0.30973705 	0.45978240 	0.85078354 	0.59937927 	0.39820570 	0.00058065 	0.99749756 	0.65120943 	0.5615 	2 
1.39039317 	2.25571822 	2.63674693 	0.52383316 	0.30485201 	0.89249309 	0.83945450 	0.16762985 	0.99607736 	0.44617542 	-0.56848825 	-0.16090834 	0.98585530 	0.84436683 	0.78553089 	0.00020229 	0.60203507 	0.88478582 	0.5432 	3 
1.30767866 	2.32960918 	3.06473144 	0.87850966 	0.31413503 	0.66789458 	0.43713506 	0.58404673 	0.99402182 	0.74499937 	-0.54719267 	-0.12336529 	0.56073281 	0.86020387 	0.18786416 	0.00011961 	0.66863483 	0.88837709 	0.5254 	4 
1.38796411 	1.80852090 	3.50139399 	0.86481067 	0.32846150 	0.49138276 	0.55320380 	0.60290973 	0.99908391 	0.67420499 	-0.70329115 	0.24670237 	0.75527642 	0.59352922 	0.46565396 	0.00008367 	0.76456804 	0.78154852 	0.5083 	5 
1.78362217 	2.28937837 	2.86840877 	0.27974921 	0.00471723 	0.32294720 	0.84382918 	0.93626341 	0.98561037 	0.63694084 	-0.65438275 	0.26343946 	0.65966249 	0.59711902 	0.33164123 	0.00029331 	0.93688545 	0.49362729 	0.4917 	6 
1.67275801 	2.45091876 	2.52363440 	0.37783256 	0.39300240 	0.56948790 	0.95920713 	0.92603837 	0.98393241 	0.91236133 	-0.70604724 	0.22896215 	0.97595873 	0.86457120 	0.14764643 	0.00012730 	0.89032400 	0.98746832 	0.4756 	7 
1.58955456 	1.82825297 	2.63637360 	0.24416005 	0.04973984 	0.77098482 	0.75297097 	0.37296732 	0.99719273 	0.61000090 	-0.93857049 	0.20867402 	0.70645141 	0.84820054 	0.28451433 	0.00017694 	0.85954995 	0.74333863 	0.4601 	8 
1.67036420 	1.30984908 	2.81441996 	0.04067991 	0.45425891 	0.72375540 	0.94131405 	0.26435504 	0.99032959 	0.67527307 	-0.78119178 	0.37770699 	0.80779863 	0.97829389 	0.36996153 	0.00017824 	0.86328889 	0.87386432 	0.4451 	9 
