param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
1.95987654 	2.07936959 	0.89649428 	0.40168902 	0.65739030 	0.65459698 	0.92514088 	0.84155607 	0.98195323 	0.85850831 	-0.35686237 	0.43455916 	0.69074920 	0.56159339 	0.32822991 	0.00044214 	0.36167106 	0.51267737 	0.6000 	0 
1.64891225 	1.88986231 	0.81852606 	0.77806120 	0.35267322 	0.39055415 	0.96627825 	0.91541506 	0.99658086 	0.68652842 	-0.29140700 	0.10925953 	0.67527154 	0.94704727 	0.07429673 	0.00019323 	0.30377570 	0.84736634 	0.5804 	1 
1.57436516 	1.87873817 	1.38475326 	0.77655044 	0.77586103 	0.24624822 	0.87231568 	0.89580501 	0.99032143 	0.61141119 	-0.24571423 	0.25740422 	0.87591089 	0.99219179 	0.07355250 	0.00062127 	0.53514813 	0.25588127 	0.5615 	2 
0.80624584 	1.63054309 	1.44910986 	0.58330852 	0.98151589 	-0.06114684 	0.72548027 	0.92103436 	0.98690869 	0.75626179 	-0.34768572 	0.53110183 	0.67762292 	0.93912426 	0.39952529 	0.00062440 	0.86512337 	0.47416672 	0.5432 	3 
0.68709118 	1.73457524 	1.86983067 	0.72023754 	0.53001252 	0.35323591 	0.55914707 	0.83115776 	0.99327395 	0.79520617 	-0.72321981 	-0.44537482 	0.78278321 	0.86801341 	0.43358759 	0.00015263 	0.90748223 	0.95472924 	0.5254 	4 
1.02394661 	2.12899613 	1.86193694 	0.61971735 	0.68967970 	0.34112888 	0.60286649 	0.40073608 	0.99369843 	0.84736914 	-0.56860751 	-0.52732689 	0.95014955 	0.76772682 	0.60648813 	0.00008981 	0.67009783 	0.61804277 	0.5083 	5 
0.35818780 	2.02514192 	2.02929816 	0.82138613 	0.85885040 	0.10008544 	0.35670153 	0.89099540 	0.99719138 	0.82328803 	-0.19015238 	-0.66997929 	0.82568371 	0.87462283 	0.06868295 	0.00016326 	0.75195502 	0.49902545 	0.4917 	6 
0.62926012 	2.05798900 	2.19826159 	0.94960937 	0.72017335 	0.16881567 	0.30497340 	0.50317278 	0.99439534 	0.77435071 	-0.10761364 	-0.22750464 	0.85729111 	0.99807198 	0.14363104 	0.00026497 	0.58991784 	0.38182137 	0.4756 	7 
0.76197679 	2.13337180 	2.36776248 	0.85837564 	0.33862958 	0.52170970 	0.74548373 	0.41768927 	0.99354907 	0.50012598 	-0.17117064 	-0.34093143 	0.89190183 	0.87877110 	0.40077828 	0.00007056 	0.68150188 	0.32736232 	0.4601 	8 
0.67709769 	1.74061991 	2.46164422 	0.97619999 	0.26098213 	0.33816662 	0.63705161 	0.50168628 	0.99974664 	0.76584292 	-0.19533042 	-0.10794878 	0.93291825 	0.68951551 	0.14780839 	0.00014364 	0.65396772 	0.34678991 	0.4451 	9 
0.73599053 	1.28063595 	2.54317620 	0.96717767 	0.66460390 	0.76981052 	0.82712746 	0.36765124 	0.99738735 	0.80926174 	-0.49111034 	-0.49089282 	0.89645414 	0.66981417 	0.14485646 	0.00012986 	0.62126704 	0.27848313 	0.4306 	10 
0.65444481 	1.21426354 	2.62114507 	0.99151534 	0.71999919 	0.87909759 	0.52875096 	0.10260215 	0.99918664 	0.74256482 	-0.46059881 	-0.34439544 	0.83802271 	0.78877120 	0.02325887 	0.00014122 	0.56419351 	0.48864284 	0.4165 	11 
0.57655041 	1.00637566 	3.18463776 	0.94214351 	0.73408323 	0.67979663 	0.75296065 	0.37484536 	0.99835889 	0.88460196 	-0.52875384 	-0.31049396 	0.82907336 	0.97635243 	0.27594419 	0.00005687 	0.87117027 	0.39309951 	0.4029 	12 
0.59311104 	0.88575412 	3.29393734 	0.78719279 	0.51515562 	0.33402710 	0.86441268 	0.51134857 	0.99840440 	0.82781853 	-0.58179046 	-0.24552268 	0.69768262 	0.74003359 	0.30776475 	0.00008786 	0.81807724 	0.47054377 	0.3898 	13 
0.78590866 	0.78497038 	3.48400092 	0.97488491 	0.61722086 	0.09109412 	0.81964804 	0.28414211 	0.99817479 	0.84031004 	-0.42782087 	-0.24007293 	0.89909464 	0.76333137 	0.25501315 	0.00017690 	0.95801405 	0.65009465 	0.3771 	14 
0.97270520 	0.81462379 	3.28861917 	0.85892257 	0.32425806 	0.12526800 	0.90484956 	0.26816722 	0.99615821 	0.82368854 	-0.33989692 	-0.07006668 	0.82420690 	0.88565879 	0.17476593 	0.00020250 	0.99575852 	0.54580502 	0.3648 	15 
0.88153270 	0.76422145 	3.49648375 	0.67790354 	0.56665700 	0.29720550 	0.93771355 	0.26321817 	0.99940230 	0.87129019 	-0.31261695 	-0.10893676 	0.85690629 	0.99787308 	0.21035055 	0.00013453 	0.78826704 	0.60811659 	0.3528 	16 
0.90638900 	0.71303484 	3.57099344 	0.49545511 	0.60202114 	0.44215796 	0.92308032 	0.24830434 	0.99976841 	0.91860132 	-0.12774025 	-0.03211767 	0.68629191 	0.85018044 	0.08321042 	0.00013478 	0.95109586 	0.65145033 	0.3413 	17 
1.00630870 	0.64960953 	3.65000111 	0.63814584 	0.54506858 	0.21779123 	0.96580741 	0.23311717 	0.99931947 	0.84620440 	-0.06962758 	0.06452923 	0.90660814 	0.75681991 	0.08850254 	0.00009975 	0.96663451 	0.69018774 	0.3302 	18 
1.08590792 	0.71135047 	3.65475836 	0.50496556 	0.60028311 	0.28470730 	0.77364525 	0.29299080 	0.99937121 	0.64181274 	-0.26342334 	0.05579097 	0.90147508 	0.69088852 	0.06177839 	0.00007428 	0.98466370 	0.75537196 	0.3194 	19 
1.28350502 	0.67602454 	3.81396482 	0.57795269 	0.44577669 	0.36374191 	0.95963377 	0.12544120 	0.99972589 	0.67818402 	-0.31065862 	0.03863848 	0.83247845 	0.68579031 	0.12847521 	0.00007298 	0.90491105 	0.86631035 	0.3090 	20 
1.52285771 	0.64786112 	3.71840193 	0.69324484 	0.45264210 	0.36940257 	0.92430598 	0.11721834 	0.99896073 	0.79791892 	-0.27107552 	0.13169889 	0.87846650 	0.71735726 	0.25279503 	0.00005327 	0.84063900 	0.84211234 	0.2989 	21 
1.57594761 	0.70643056 	3.69723107 	0.59341782 	0.48624488 	0.15613017 	0.69567080 	0.14221198 	0.99972474 	0.82422803 	-0.20290675 	0.02017630 	0.91042835 	0.78251129 	0.23172277 	0.00006470 	0.80143072 	0.97710976 	0.2892 	22 
1.46906499 	0.77676851 	3.74484544 	0.56780112 	0.37429411 	0.12573964 	0.80414561 	0.22914648 	0.99955632 	0.80724489 	-0.30024020 	0.04187007 	0.77631727 	0.85007991 	0.33565569 	0.00006584 	0.81221273 	0.97014465 	0.2797 	23 
1.47656368 	0.72629406 	3.78140786 	0.48190807 	0.25155128 	0.22336060 	0.82865555 	0.24758673 	0.99949392 	0.76076823 	-0.38132041 	0.20138671 	0.71463454 	0.84005910 	0.36985942 	0.00005729 	0.75080282 	0.83297080 	0.2706 	24 
1.48000301 	0.79358289 	3.89002744 	0.36003637 	0.31786996 	0.35255928 	0.79099973 	0.24099659 	0.99908974 	0.84152505 	-0.22017385 	0.22277911 	0.56160388 	0.85504557 	0.48943140 	0.00006161 	0.97868652 	0.95699782 	0.2618 	25 
1.56701773 	0.68372045 	3.92094840 	0.40462179 	0.34323874 	0.51568090 	0.76632467 	0.24219495 	0.99840094 	0.74188042 	-0.27986907 	0.14422036 	0.66436332 	0.82417126 	0.56467998 	0.00004897 	0.99256086 	0.90361430 	0.2532 	26 
1.56763529 	0.71192568 	3.90214807 	0.51362500 	0.22504928 	0.65898523 	0.71948355 	0.23175686 	0.99853827 	0.74610526 	-0.31850384 	0.14054802 	0.71097676 	0.89128967 	0.51546621 	0.00005504 	0.93743972 	0.84078869 	0.2449 	27 
1.46219150 	0.66252373 	3.94012663 	0.47585743 	0.18967149 	0.67965107 	0.75524552 	0.21458241 	0.99999957 	0.67727695 	-0.35208551 	0.22461413 	0.74764534 	0.85064594 	0.54773140 	0.00004897 	0.99530671 	0.74832779 	0.2370 	28 
1.31447632 	0.63306301 	3.87041593 	0.42158433 	0.23245561 	0.66711488 	0.72221935 	0.17820046 	0.99975923 	0.64782240 	-0.40850107 	0.19324412 	0.82086097 	0.82950078 	0.51533471 	0.00004299 	0.93284826 	0.68214244 	0.2292 	29 
1.18045911 	0.69869939 	3.87935885 	0.56185121 	0.42594432 	0.93917310 	0.91831243 	0.39147433 	0.99859256 	0.76179459 	-0.66394712 	0.02192420 	0.84322096 	0.85096577 	0.37805241 	0.00006422 	0.98961658 	0.82137264 	0.2217 	30 
1.17989538 	0.82701542 	3.94474127 	0.52636736 	0.46187083 	0.96541055 	0.90729422 	0.55058746 	0.99782611 	0.74664554 	-0.66805335 	0.02127939 	0.77485989 	0.92502107 	0.33957590 	0.00006650 	0.91704670 	0.88034116 	0.2145 	31 
1.10987454 	0.80855842 	3.88693567 	0.54052677 	0.58740997 	0.99245053 	0.88116281 	0.58209053 	0.99870401 	0.82149420 	-0.69585832 	-0.02911866 	0.80219742 	0.87378613 	0.30025200 	0.00005783 	0.90804138 	0.89302928 	0.2075 	32 
1.18138733 	0.84817131 	3.83822583 	0.54526681 	0.59491814 	1.03962395 	0.90919371 	0.52692902 	0.99736913 	0.85235944 	-0.64255313 	0.02563895 	0.84481337 	0.99107072 	0.36288832 	0.00005430 	0.91144927 	0.86668202 	0.2007 	33 
1.17393183 	0.83574108 	3.83382400 	0.57990403 	0.52421164 	0.97897272 	0.93263049 	0.53309708 	0.99607152 	0.86738438 	-0.62696164 	0.00580052 	0.82167190 	0.99647927 	0.39916488 	0.00005760 	0.93932631 	0.82305319 	0.1942 	34 
1.19570606 	0.79696408 	3.87070295 	0.60799357 	0.57082192 	1.05681460 	0.87200127 	0.55318588 	0.99968239 	0.78250583 	-0.64832650 	0.00396811 	0.78419333 	0.96490993 	0.42290577 	0.00005795 	0.91939044 	0.81463026 	0.1878 	35 
1.22705980 	0.81534642 	3.90127347 	0.62040118 	0.52107803 	1.01314975 	0.84803191 	0.57213927 	0.99845039 	0.76966308 	-0.61750775 	-0.01611576 	0.77305357 	0.97122808 	0.43710103 	0.00005134 	0.95279071 	0.82934811 	0.1817 	36 
1.22292383 	0.77914227 	3.91454272 	0.63036496 	0.57719034 	0.99120901 	0.82899352 	0.57198471 	0.99999151 	0.79496217 	-0.60082319 	-0.04837372 	0.82848968 	0.96229260 	0.44018243 	0.00004420 	0.95235731 	0.76009783 	0.1758 	37 
1.20606422 	0.73942109 	3.88560040 	0.62591802 	0.59427850 	0.95678270 	0.80244114 	0.57043470 	0.99985899 	0.79843855 	-0.55811422 	-0.07164809 	0.80894596 	0.97545840 	0.45107924 	0.00004234 	0.95668791 	0.74953988 	0.1700 	38 
