param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
0.24524034 	3.11152309 	0.54908277 	0.99117206 	0.01469907 	-0.58558657 	0.59189227 	0.52367618 	0.69373481 	0.74426880 	-2.11296805 	-0.46476963 	0.77505207 	0.35526933 	0.71444305 	0.05592460 	0.11905099 	0.18102980 	0.6000 	0 
0.24207098 	2.88244913 	0.56997075 	0.96960475 	0.11504808 	-0.35760610 	0.79450769 	0.38053750 	0.12191335 	0.62555288 	-1.14863502 	-1.45629922 	0.56701201 	0.28828478 	0.38414253 	0.02615340 	0.40790545 	0.15603797 	0.5804 	1 
0.49503262 	2.97122432 	0.03418934 	0.56354710 	0.27911434 	-0.04399526 	0.81777245 	0.60580638 	0.14703159 	0.75317511 	-1.07947916 	-1.08293436 	0.51635875 	0.10790485 	0.20160455 	0.01199852 	0.03643268 	0.04443640 	0.5615 	2 
1.36109668 	2.80002244 	0.41690378 	0.13600025 	0.11467390 	-0.84498118 	0.56118119 	0.63518623 	0.03032401 	0.89393346 	-1.06321738 	-0.62232336 	0.20773748 	0.10492504 	0.31311841 	0.01322276 	0.02704106 	0.01698370 	0.5432 	3 
1.24805551 	2.64874696 	0.49179514 	0.06972498 	0.45756978 	-0.66537358 	0.21344928 	0.20614454 	0.39579951 	0.90262229 	-1.40016242 	-0.58882508 	0.48285151 	0.16394696 	0.24173231 	0.00496100 	0.45444273 	0.12172352 	0.5254 	4 
1.75419187 	2.77786819 	0.35177408 	0.05018614 	0.22709952 	-1.10215372 	0.38178233 	0.07195804 	0.42448074 	0.92241401 	-1.04654628 	-0.85004371 	0.95634985 	0.22364944 	0.63478175 	0.00197262 	0.48895123 	0.12604933 	0.5083 	5 
1.68640270 	2.78819372 	0.84637782 	0.33326366 	0.67887132 	-1.06459832 	0.49089940 	0.30576465 	0.42784810 	0.70799771 	-1.10482923 	-1.54489145 	0.52427532 	0.30604991 	0.50679995 	0.00200951 	0.42058995 	0.49550185 	0.4917 	6 
1.79725996 	2.54887950 	0.65028818 	0.10397686 	0.59528862 	-0.51850798 	0.64160999 	0.11066381 	0.24706836 	0.84447738 	-1.87298140 	-1.52005402 	0.12722466 	0.36427528 	0.63955845 	0.00283969 	0.63185246 	0.63529979 	0.4756 	7 
1.57434281 	2.33674528 	0.57298421 	0.04030640 	0.72707434 	-0.14742083 	0.83281937 	0.40792744 	0.15723210 	0.95421137 	-1.97426547 	-1.56762159 	0.10615605 	0.64768165 	0.60789821 	0.00136209 	0.41261292 	0.33009147 	0.4601 	8 
1.90291767 	2.32842903 	0.63907062 	0.36469226 	0.40265572 	0.09188773 	0.88028193 	0.44805780 	0.57328293 	0.86095269 	-1.71468702 	-1.40831518 	0.10962834 	0.92524430 	0.37970517 	0.00071468 	0.26542872 	0.32839225 	0.4451 	9 
2.11230781 	2.47165575 	0.38616265 	0.02322226 	0.36279226 	-0.09324921 	0.74280441 	0.66584641 	0.76609290 	0.65953630 	-1.58386813 	-1.51929852 	0.20439862 	0.81246142 	0.11701748 	0.00036615 	0.08102226 	0.61255762 	0.4306 	10 
2.19044994 	2.34843094 	0.39759986 	0.38872500 	0.37069994 	0.02384363 	0.51851251 	0.53078500 	0.61856011 	0.66498087 	-1.43929518 	-1.03248011 	0.48028722 	0.18042619 	0.19146269 	0.00018421 	0.14603423 	0.95589954 	0.4165 	11 
2.49358045 	2.69145687 	0.66541572 	0.25811891 	0.33452842 	0.49843508 	0.40383452 	0.71504679 	0.42524250 	0.48018912 	-1.52831180 	-1.32550790 	0.19808293 	0.67080052 	0.37472183 	0.00017114 	0.40624932 	0.68866590 	0.4029 	12 
2.59142413 	2.67708906 	0.93099528 	0.10482166 	0.53048762 	0.42796410 	0.09623444 	0.88755366 	0.66736940 	0.92207775 	-1.89124509 	-1.27413264 	0.65738966 	0.50516075 	0.34574194 	0.00011326 	0.18984056 	0.94959305 	0.3898 	13 
